ski_resort_name,city,country,longitude,latitude,rating,elevation_info,total_slopes,blue_slopes,red_slopes,black_slopes,total_lifts,total_big_gondolas,total_gondolas,total_chairlifts,total_t_bars,total_moving_carpets
Ski resort Ponte di Legno/​Tonale/​Presena Glacier/​Temù (Pontedilegno-Tonale),Passo del Tonale (Tonale Pass),Italy,10.5818471,46.2580068,4.2 out of 5 stars,1121 m - 3000 m (Difference 1879 m),100.0,24.0,60.0,16.0,30.0,0,4,19,3,4
Ski resort Ofterschwang/​Gunzesried – Ofterschwanger Horn,Ofterschwang,Germany,10.2362108,47.5008514,3.7 out of 5 stars,880 m - 1405 m (Difference 525 m),16.5,4.6,9.2,2.7,7.0,0,2,2,1,0
Ski resort Sonnenkopf – Klösterle,Klösterle,Austria,10.0921339,47.1312847,3.6 out of 5 stars,1000 m - 2300 m (Difference 1300 m),29.5,12.8,15.9,0.8,9.0,0,1,4,3,0
Ski resort Hochficht,Klaffer am Hochficht,Austria,13.8803764,48.6955597,3.6 out of 5 stars,866 m - 1338 m (Difference 472 m),20.1,9.1,10.0,1.0,9.0,0,2,3,2,2
Ski resort Schlick 2000 – Fulpmes,Fulpmes,Austria,11.3490587,47.1530974,3.9 out of 5 stars,1009 m - 2240 m (Difference 1231 m),25.0,13.5,8.0,3.5,9.0,0,3,3,3,0
Ski resort St. Anton/​St. Christoph/​Stuben/​Lech/​Zürs/​Warth/​Schröcken – Ski Arlberg,St. Anton am Arlberg,Austria,10.2663669,47.1288996,4.8 out of 5 stars,1304 m - 2811 m (Difference 1507 m),302.0,130.0,122.0,50.0,85.0,5,12,42,21,1
Ski resort SkiWelt Wilder Kaiser-Brixental,Ellmau,Austria,12.3024747,47.5136972,4.8 out of 5 stars,620 m - 1869 m (Difference 1249 m),275.0,115.0,121.0,39.0,81.0,0,16,32,14,9
Ski resort Serfaus-Fiss-Ladis,Serfaus,Austria,10.6103285,47.0375066,4.8 out of 5 stars,1200 m - 2828 m (Difference 1628 m),186.0,47.0,112.0,27.0,38.0,0,11,16,8,0
Ski resort Saalbach Hinterglemm Leogang Fieberbrunn (Skicircus),Saalbach,Austria,12.6364473,47.3914586,4.7 out of 5 stars,830 m - 2096 m (Difference 1266 m),270.0,140.0,112.0,18.0,69.0,0,28,21,16,1
Ski resort St. Moritz – Corviglia,St. Moritz,Switzerland,9.8392428,46.4978958,4.7 out of 5 stars,1735 m - 3057 m (Difference 1322 m),155.0,42.0,79.0,34.0,23.0,2,1,12,3,0
Ski resort Schladming – Planai/​​Hochwurzen/​​Hauser Kaibling/​​Reiteralm (4-Berge-Skischaukel),Schladming,Austria,13.6867878,47.3940415,4.7 out of 5 stars,728 m - 2015 m (Difference 1287 m),123.0,46.4,68.3,8.3,47.0,1,10,19,12,3
Ski resort Sölden,Sölden,Austria,11.0070193,46.9673961,4.7 out of 5 stars,1350 m - 3340 m (Difference 1990 m),147.0,69.8,44.8,31.9,31.0,0,8,13,8,1
Ski resort Arosa Lenzerheide,Arosa,Switzerland,9.6781356,46.7797248,4.7 out of 5 stars,1229 m - 2865 m (Difference 1636 m),225.0,110.0,87.0,28.0,43.0,4,4,18,16,0
Ski resort Mayrhofen – Penken/​Ahorn/​Rastkogel/​Eggalm,Mayrhofen,Austria,11.8638664,47.1672188,4.7 out of 5 stars,630 m - 2500 m (Difference 1870 m),142.0,44.0,66.0,32.0,58.0,2,7,17,11,13
Ski resort Tignes/​Val d'Isère,Tignes le Lac,France,6.907594,45.4697293,4.6 out of 5 stars,1550 m - 3456 m (Difference 1906 m),300.0,170.0,78.0,52.0,85.0,2,8,41,25,0
